model,feature,gini_observed,gini_boot_mean,gini_boot_ci_low,gini_boot_ci_high,null_mean,null_q95,p_altmann,p_altmann_bh,perm_mean,perm_ci_low,perm_ci_high,perm_ci_excludes_zero
RFC,secondary_structure_fraction_helix,0.009733014035315665,0.009150020543768471,0.00659902802250308,0.013397449551941531,0.009545298631619252,0.010969847511604932,0.3758120939530235,0.5956267149444147,0.0010817077131668063,-0.0033220076004172013,0.005404451832623755,False
RFC,fraction_exposed_exposed_i,0.009712949661691278,0.009888341331407152,0.007138869132656308,0.013689872741825303,0.0104796226715624,0.012051247520457649,0.8025987006496752,1.0,0.00010590532699730426,-0.00461723298775468,0.0072881995948047545,False
RFC,fraction_exposed_exposed_h,0.00969381757584948,0.009489826285361899,0.006897357475516621,0.013173025179647399,0.010460722022218347,0.011908787274313503,0.823088455772114,1.0,-0.0011537470323321885,-0.008852051388313353,0.006562999557454184,False
RFC,fraction_exposed_exposed_w,0.009682780370316568,0.007949817531319398,0.0056072962699745925,0.011014752136744615,0.008326339105875658,0.00955957542098895,0.035982008995502246,0.08168888528708618,0.0016493124630594903,-0.004400618646213966,0.007360330862554722,False
RFC,frac_aa_k,0.009598640590153295,0.010566739078924893,0.007389415593231595,0.015029174635651486,0.009780767016063487,0.011199924209431883,0.5652173913043478,0.8329519450800914,0.0031534448279289884,-0.0057336777363330566,0.01583630295575409,False
RFC,nsp_disordered,0.009471919138668919,0.00991948008855308,0.007239662656303225,0.014124038386977731,0.009443050552091364,0.010730990330751406,0.47176411794102946,0.7338552945749347,0.0005275991717032969,-0.0059022376180311534,0.006210607459727146,False
RFC,incubation_concentration_mg_per_ml,0.00930733564426452,0.013853606030055025,0.010757452850821718,0.01748190472601265,0.02656755947529732,0.0287953678173403,1.0,1.0,0.0007717697910632249,-0.002611902197881438,0.0035911360343235466,False
RFC,frac_aa_f,0.009266280184485812,0.009571531485468169,0.006888705340091328,0.013470172806491968,0.010327944354483696,0.011799191961612233,0.9120439780109945,1.0,0.0009166734707653956,-0.004950162805133701,0.008755729035507337,False
RFC,fraction_exposed_exposed_t,0.009202392534084464,0.009651750591078251,0.006831682985549098,0.014553880293017525,0.010805173031094425,0.012353742523011904,0.9760119940029985,1.0,-0.0017031221304570653,-0.014527935887633552,0.008570637119113425,False
RFC,secondary_structure_fraction_turn,0.009048864450118706,0.009361264097870048,0.006879085858508695,0.013046605326769309,0.009381626058273668,0.010656610267431798,0.6506746626686657,0.8960110108879987,0.0010671435242938221,-0.0045677080125253785,0.007829918032786765,False
RFC,fraction_exposed_exposed_d,0.008701483349370825,0.009570109370531394,0.00686635188853208,0.013590301284891115,0.010307654106833765,0.011735874363818783,0.984007996001999,1.0,0.00021213548161140737,-0.00515978577231464,0.005535410080202015,False
RFC,fraction_exposed_exposed_c,0.008187725555787041,0.007595962550385823,0.005201617804456347,0.01052583046858477,0.008424929247467336,0.00981245492128307,0.5872063968015993,0.8504368505402472,-0.0014996897031739809,-0.011657457291522805,0.003838579702845535,False
RFC,ligand_pvp,0.0079464311155193,0.012955973343370892,0.010490463386484445,0.015740168149748518,0.014167134362481593,0.015595512029066498,1.0,1.0,0.001977039679284862,-0.000897630404885788,0.005500797448165706,False
RFC,ligand_citrate,0.007416541166061311,0.014124085721407238,0.011193135018300765,0.017411201654966985,0.0130851224201412,0.014455753687297975,1.0,1.0,0.0020255101780753924,-0.002038611727552078,0.006467622142281289,False
RFC,core_iron_oxide_au,0.006907888330480732,0.010041487364487857,0.008307455438817819,0.01218981662207088,0.01776294226480794,0.019381814404453558,1.0,1.0,0.0013249403869896837,-0.0013857374398366235,0.004738095150992085,False
RFC,np_incubation_concentration_mg_per_ml,0.006226813448651646,0.009107717339506036,0.007049697672593333,0.011447982797583925,0.009588625064099333,0.010721841070217439,1.0,1.0,0.0016364108409814182,-0.0012097887886131143,0.004992283950617273,False
RFC,centrifuged,0.004906089678651412,0.007129359341994598,0.00549541561875637,0.009177924942765637,0.007484923221957673,0.008391873455966408,1.0,1.0,0.0010646966597406516,-0.0013591195001460637,0.0037694616208349655,False
RFC,core_ps,0.004831873397998912,0.007170068487570688,0.005413271999537135,0.009003793476792624,0.007464726604314492,0.008393234615977133,1.0,1.0,0.001163104710450832,-0.00039129182314784903,0.003370108691531248,False
RFC,ligand_carboxylate,0.002782042669986688,0.00430623676892287,0.00302806586883305,0.00587630682373489,0.005608387329537013,0.006454940957054481,1.0,1.0,0.0005120170558078663,-0.0013008302883398659,0.0024407913988238102,False
RFC,ligand_peg_two_k,0.001768155751595212,0.0028702218836984972,0.0016591901304672575,0.004573329688568809,0.002884140174587327,0.0035885270341344737,0.9980009995002499,1.0,0.0007792018971549686,-0.0008210299230495572,0.002189372953915815,False
RFC,ligand_peg_five_k,0.00044942236561485387,0.0012269375361521919,0.000718450549466345,0.0019337103677038218,0.0032682889137829437,0.003990745476752387,1.0,1.0,6.58739538326436e-05,-0.00036597228241508903,0.00044676136746944745,False
RFR,abundance_controls,0.6738073689932165,0.6235884460044192,0.38925410412329736,0.8150873346231534,0.005157879394921817,0.009585388239430078,0.0004997501249375312,0.020989505247376312,0.06973588903900908,0.021112067334980292,0.15489258757315857,True
RFR,zeta_potential,0.023261724259730974,0.02990744414743834,0.013110590069265493,0.05898259174560179,0.10360565474771678,0.11898183206392376,1.0,1.0,0.0006678939107119526,-0.0008958425958632363,0.0021334274101119316,False
RFR,nsp_secondary_structure_coil,0.019349220996151106,0.004718471945790597,0.0005289905007720351,0.022221563850299914,0.006009249780043847,0.008548221180943085,0.0004997501249375312,0.020989505247376312,0.00082690760562657,-0.0008640156873062011,0.003130579433113049,False
RFR,nsp_secondary_structure_helix,0.017752544043618146,0.0056199974979145575,0.000619312887147975,0.02620020090252411,0.0066434031721975964,0.009327637771498812,0.0009995002498750624,0.02798600699650175,0.0007924203025736884,-0.0009051750312004728,0.003295524963708637,False
